CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::add_missing_default_ctor_for_static_objects
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::add_ref_on_assigns
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::add_umr_detection_checks
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::bind_module_to_tech_cell
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::bit_split
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::blast_floating_point_array_access
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::break_array_read_ps
         2x                         |        0.1s        0.1s                         | TOP::CMDs::cpt::build_cdb
         2x                         |        0.1s        0.1s                         | TOP::CMDs::cpt::canonize_cpt_for_cpp
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::canonize_disables
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::case2if
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::change_vhdl_arrayrange_bounds
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::check_nonsynthesizables
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::check_vhdl_nonsynth
         1x                         |        0.1s        0.1s                         | TOP::CMDs::cpt::cleanup
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cleanup_attributes
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cleanup_empty_seq_block
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::clear_link_design_flags
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::coalesce_complex_port_maps
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::coalesce_concats
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::coalesce_multi_concats
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::compute_checksums
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::concat2sel
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cond2sel
         4x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::const_fold
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::const_prop
         1x                         |        0.1s        0.1s                         | TOP::CMDs::cpt::const_prop_for_cpp
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::convert_enums_to_ints
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::convert_init_stmt_to_cpp_init_block
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::convert_posassoc_to_namedassoc
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::convert_types
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::convert_upto_bit_ranges
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::convert_vhdl_arith_shifts
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::convert_vhdl_attr_to_func
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cover_check
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cover_check_reporter
         1x                         |        2.1s        2.1s                         | TOP::CMDs::cpt::cpp_elaborate
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cpt_create_temp_aggregates
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cpt_handle_bbox
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cpt_insert_waits_forcpc
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cpt_name_always_blocks_parallel_sels
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cpt_number_always_blocks
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::cpt_optmize_black_boxes
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::create_cdb_symbols
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::create_init_for_uninitialized_global_ctype_decls
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::create_tmp
         1x                         |        1.1s        1.1s                         | TOP::CMDs::cpt::cross_file_link
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::deadcode
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::delete_loop_var_assigns
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::detect_and_resolve_multidriver
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::dissolve_block_names
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::dissolve_nested_blocks
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::distill_modcalls
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::distill_selects
         5x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::do_design_checks
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::down_scope_consts
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::down_scope_signals_in_pkg
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::elaborate
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::enclose_conc_calls
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::flatten_vhdl_ports
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::for2while
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::foreach2for
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::func2task
        96x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::generate_node_heat_map
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::generate_temp_for_cpp
        10x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::get_cptroot
         8x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::get_language
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::get_top_cptroot
         1x                         |        0.2s        0.2s                         | TOP::CMDs::cpt::handle_ac_sc_constructs_natively
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::handle_acchannel_size
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::handle_ccores
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::handle_complex_sv_formals
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::handle_cpp_initializations
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::handle_float_types
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::handle_goto
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::handle_property_asserts
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::handle_shift_operations
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::handle_sv_array_struct_ports
         1x                         |        0.6s        0.6s                         | TOP::CMDs::cpt::handle_systemc_constructs
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::handle_type_expr
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::identify_accumulators
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::identify_enum_full_case
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::identify_unrolled_loops
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::identify_wait_in_loops
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::if_convert
         1x                         |        0.1s        0.1s                         | TOP::CMDs::cpt::ignore_system_header_io
         3x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::infer_clock
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::infer_power_up_values
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::inline_functions
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::inout_dir
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::introduce_writes_for_roms
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::is_gate_level_design
        10x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::linked
         4x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::linked_and_build
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::mark_loop
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::mark_loop_as_unroll_in_compiler_generated_functions
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::mark_loop_in_acinit_array_as_unrolled
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::mark_mem_sym
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::markfullcase
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::match_operand_widths
         1x                         |        0.1s        0.1s                         | TOP::CMDs::cpt::mixed_lang_to_cpt
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::mux_compaction
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::natively_handle_ac_builtin_func
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::nb2b
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::normalize_negating_exprs
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::normalize_negative_shifts
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::order_con_statements
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::pre_process_composite_callexprs
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::predicate_disables
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::predicate_switch_stmts
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::predicate_unrolled_loops
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::prep_for_cdb
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::preprocess4bb
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::preprocess_non_orthogonal_unions
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::prune_parallel_selects
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::prune_selects
         1x                         |        6.4s        6.4s                         | TOP::CMDs::cpt::read_cpp
         1x                         |        0.5s        0.5s                         | TOP::CMDs::cpt::read_mixed_lang
         6x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::record_design_checks
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_bottom_hier_ctor_from_top
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_complete_bitranges
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_dead_assigns
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_init_for_symbolic_memories
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_propagated_consts
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_range_expr
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_redundant_selects
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_sc_int_upcasts
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_trailing_stmts_after_jump_stmts
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_trivially_true_asserts
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_vh_abs
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_vhdl_mod
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_vhdl_unused_decls
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_vlog_unused_decls
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::remove_x_assignments
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::rename_param_modules
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::rename_unions
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::repeat2for
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::replace_missing_assign_op_with_assignment
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::report_hierarchy
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::reset_probes
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::reset_restr
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::sanitize_resets
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::sanity_check
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::sensitivity_scan
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::set_verilog_orig_types
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::simplified_upscope_static_var_decls
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::smash_array
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::smash_mdim_array
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::smash_record
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::sv_handle_composites
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::synthesize_ac_sc_fixed_logic
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::synthesize_sequential_hierarchies
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::synthesize_sva
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::transfer_array_size_from_parent_to_child_hierarchy
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::transfer_pragmas_to_properties
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::transform_init_block
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::transform_inits_to_assigns
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::transform_mem_comb_read
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::typecast_signed_shifts
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::upscope_for_loop_init
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::validate_link_design_top
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::var_bit_range
         2x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::var_bit_sel
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::vhdl_check_operand_widths
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::vhdl_collate_packages
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::vhdl_handle_clock
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::vlog_add_missing_actuals
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::vlog_add_missing_instance_names
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::vlog_downscope_packages
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::vlog_elab_types
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::vlog_fix_symbol_info
         1x                         |        0.1s        0.1s                         | TOP::CMDs::cpt::wait_restr
         1x                         |        0.0s        0.0s                         | TOP::CMDs::cpt::xform_user_asserts
         2x                         |        0.0s        0.0s                         | TOP::CMDs::create_constraint
        33x                         |        0.0s        0.0s                         | TOP::CMDs::create_map
        34x                         |        0.0s        0.0s                         | TOP::CMDs::create_waveform
        33x                         |        0.0s        0.0s                         | TOP::CMDs::create_zero
         2x                         |        0.0s        0.0s                         | TOP::CMDs::derive_clock_domain
         1x                         |        0.0s        0.0s                         | TOP::CMDs::destroy_mapdb
         2x                         |        0.0s        0.0s                         | TOP::CMDs::do_apply_map_post_spatial_analysis
         2x                         |        0.0s        0.0s                         | TOP::CMDs::do_apply_map_pre_spatial_analysis
         7x                         |        0.1s        0.0s                         | TOP::CMDs::do_consistency_check
         1x                         |        0.0s        0.0s                         | TOP::CMDs::do_normalize
         1x                         |        0.0s        0.0s                         | TOP::CMDs::do_obtain_reset
         2x                         |        0.2s        0.2s                         | TOP::CMDs::do_optimize
         1x                         |        0.0s        0.0s                         | TOP::CMDs::do_post_opt_reporting
         1x                         |        0.6s        0.6s                         | TOP::CMDs::do_sim_based_validation
         1x                         |      365.0s      365.0s                         | TOP::CMDs::do_solve
         1x                         |        0.0s        0.0s                         | TOP::CMDs::do_spatial_analysis_on_maps_constraints
         1x                         |        0.0s        0.0s                         | TOP::CMDs::finalize_flopmaps_converted_into_output_maps
         1x                         |        0.0s        0.0s                         | TOP::CMDs::finalize_inductive_state_flop_maps
        67x                         |        0.0s        0.0s                         | TOP::CMDs::find
       311x                         |        0.0s        0.0s                         | TOP::CMDs::get_cpu_usage
      1383x                         |        0.0s        0.0s                         | TOP::CMDs::get_global
        32x                         |        0.0s        0.0s                         | TOP::CMDs::get_info
       283x                         |        0.0s        0.0s                         | TOP::CMDs::get_mem_usage
       111x                         |        0.0s        0.0s                         | TOP::CMDs::get_process_usage
         1x                         |        0.0s        0.0s                         | TOP::CMDs::get_trans_pair
         2x                         |        0.0s        0.0s                         | TOP::CMDs::get_version
         1x                         |        0.0s        0.0s                         | TOP::CMDs::launch_ecs_subsessions
         2x                         |        5.0s        4.9s                         | TOP::CMDs::link_design
         1x                         |        0.0s        0.0s                         | TOP::CMDs::list_properties
         1x                         |        0.0s        0.0s                         | TOP::CMDs::obtain_mapped_values_for_flops
         4x                         |        0.0s        0.0s                         | TOP::CMDs::optimize_post_reset
         1x                         |        0.0s        0.0s                         | TOP::CMDs::preserve_important_signals
         1x                         |        0.0s        0.0s                         | TOP::CMDs::print_excluded_properties
        33x                         |        0.0s        0.0s                         | TOP::CMDs::print_status
         1x                         |        0.0s        0.0s                         | TOP::CMDs::print_summary
         1x                         |        0.0s        0.0s                         | TOP::CMDs::print_verify_results
         1x                         |        0.0s        0.0s                         | TOP::CMDs::process_cffm_arguments
         1x                         |        0.0s        0.0s                         | TOP::CMDs::prune_unmapped_fanin_cone
        34x                         |        0.0s        0.0s                         | TOP::CMDs::query_status
         2x                         |        6.9s        6.4s                         | TOP::CMDs::read_design
         1x                         |        6.4s        6.4s                         | TOP::CMDs::read_systemc
         1x                         |        0.5s        0.5s                         | TOP::CMDs::read_verilog
         2x                         |        0.1s        0.1s                         | TOP::CMDs::report_characteristics
         1x                         |        0.0s        0.0s                         | TOP::CMDs::report_mapping
         1x                         |        0.0s        0.0s                         | TOP::CMDs::report_reset_flops
         3x                         |        0.0s        0.0s                         | TOP::CMDs::set_clock_domain
       184x                         |        0.0s        0.0s                         | TOP::CMDs::set_global
         2x                         |        0.0s        0.0s                         | TOP::CMDs::set_hierarchy
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_reset_length
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_reset_value
         3x                         |        0.0s        0.0s                         | TOP::CMDs::set_ta_clock_domain
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_verification_effort
         1x                         |        0.0s        0.0s                         | TOP::CMDs::set_verification_mode
         1x                         |        0.0s        0.0s                         | TOP::CMDs::slec_set_reset_value
       596x                         |      380.0s      367.1s                         | TOP::CMDs::source
         1x                         |        0.0s        0.0s                         | TOP::CMDs::ta_fix_data_latches
         1x                         |        0.0s        0.0s                         | TOP::CMDs::ta_fix_setup_violation
       597x                         |      379.9s      367.1s                         | TOP::CMDs::tcl_source
         1x                         |      366.2s      366.2s                         | TOP::CMDs::verify
         1x                         |        0.0s        0.0s                         | TOP::CMDs::verify_init
         1x                         |        0.0s        0.0s                         | TOP::CMDs::write_db
         4x                         |        0.0s        0.0s                         | TOP::CXPlayback
         4x                         |        9.5s        6.7s                         | TOP::CXPlayback::PLAY
         0x                         |        0.0s                                     | TOP::ExprManager
         4x                         |        1.0s        0.5s                         | TOP::FuncAnal
         5x                         |        0.0s        0.0s                         | TOP::FuncAnal::FUNC_ANAL
        58x                         |        1.5s        0.1s                         | TOP::GOTH
       262x                         |        0.3s        0.0s                         | TOP::OPT_CONST_PROP
       262x                         |        0.3s        0.0s                         | TOP::OPT_CSE
       262x                         |        0.2s        0.0s                         | TOP::OPT_DEAD_CODE
         3x                         |        0.0s        0.0s                         | TOP::OPT_NOR_MUX
         3x                         |        0.2s        0.1s                         | TOP::OPT_RPIC
         3x                         |        0.0s        0.0s                         | TOP::OPT_UF_CONST_PROP
         3x                         |        0.0s        0.0s                         | TOP::OPT_UF_DEAD_CODE1
         2x                         |        0.0s        0.0s                         | TOP::OPT_UF_PRE_DEAD_CODE
         3x                         |        0.0s        0.0s                         | TOP::OPT_UF_STR_REDUX
         3x                         |        0.1s        0.1s                         | TOP::OPT_WLE
         1x                         |        0.0s        0.0s                         | TOP::PEN_TIME_init_check
         8x                         |        2.0s        0.5s                         | TOP::PerformAlwaysGoodXforms
         6x                         |        0.0s        0.0s                         | TOP::PerformAlwaysGoodXforms::FUNC_ANAL
         4x                         |        0.9s        0.4s                         | TOP::PerformAlwaysGoodXforms::FuncAnal
         4x                         |        0.0s        0.0s                         | TOP::PerformAlwaysGoodXforms::FuncAnal::FUNC_ANAL
         1x                         |        0.6s        0.6s                         | TOP::SBV
        58x                         |       16.9s        0.5s                         | TOP::SolverCacheNormalization
         0x                         |        0.0s                                     | TOP::TRANS_CONST
         1x          1x          0x |      355.1s      355.1s      355.1s        0.0s | TOP::VERIFY
         1x                         |      355.1s      355.1s                         | TOP::VERIFY::SEQ
         0x                         |        0.0s                                     | TOP::VERIFY::SEQ::CCORE_VALID_REMOVAL
         0x                         |        0.0s                                     | TOP::VERIFY::SEQ::ExprManager
         0x                         |        0.0s                                     | TOP::VERIFY::SEQ::HS
         1x                         |        0.0s        0.0s                         | TOP::VERIFY::SEQ::PENMGR_init_check
         1x                         |        0.0s        0.0s                         | TOP::VERIFY::SEQ::PENMGR_init_check::GetCandidates
         7x                         |        1.0s        0.4s                         | TOP::VERIFY::SEQ::PerformAlwaysGoodXforms
         8x                         |        0.0s        0.0s                         | TOP::VERIFY::SEQ::PerformAlwaysGoodXforms::FUNC_ANAL
         6x                         |        0.3s        0.1s                         | TOP::VERIFY::SEQ::PerformAlwaysGoodXforms::FuncAnal
         6x                         |        0.0s        0.0s                         | TOP::VERIFY::SEQ::PerformAlwaysGoodXforms::FuncAnal::FUNC_ANAL
         1x          1x          0x |        0.0s        0.0s        0.0s        0.0s | TOP::VERIFY::SEQ::SOLS
         1x          1x          0x |        0.0s        0.0s        0.0s        0.0s | TOP::VERIFY::SEQ::SRF
         1x                         |      348.4s      348.4s                         | TOP::VERIFY::SEQ::SeqSAT
         0x                         |        0.0s                                     | TOP::VERIFY::SEQ::SeqSAT::ExtSEQ
        58x         58x          0x |      346.1s       17.3s      346.1s        0.0s | TOP::VERIFY::SEQ::SeqSAT::L3_SAT_SOLVER_TIME_EXTSEQ
         5x          5x          0x |        0.0s        0.0s        0.0s        0.0s | TOP::VERIFY::SEQ::SeqSAT::L3_SIM_COUNT
         4x          4x          0x |        0.6s        0.4s        0.6s        0.0s | TOP::VERIFY::SEQ::SeqSAT::L3_SIM_TIME
         1x          1x          0x |        1.3s        1.3s        1.3s        0.0s | TOP::VERIFY::SEQ::Transform1TU
         1x          1x          0x |        0.0s        0.0s        0.0s        0.0s | TOP::VERIFY::SEQ::Transform1TU::CASESPLIT
         1x          1x          0x |        1.3s        1.3s        1.3s        0.0s | TOP::VERIFY::SEQ::Transform1TU::Transform1TUXForm1
