#+-----------------------------------------------------------------------------------+
#|                                                                                   |
#| Generated by SLEC-design-checking-10.5c/892744  (Aug 23 2020)  linux64  S2008232321|
#| on Sat Sep 11 23:59:57 2021.                                                      |
#|                                                                                   |
#| Restrictions concerning the use of Mentor Graphics Corporation SLEC               |
#| are covered in the license agreement. Distribution to third party                 |
#| is strictly prohibited.                                                           |
#|                                                                                   |
#+-----------------------------------------------------------------------------------+

     [CPT-RBDF]   Reading SystemC files into the 'spec' design library.
     [UI-BDS]     CPU usage after synthesize_sequential_hierarchies = 11.285u 0.553s 11.838 0:17.000
     [UI-BDS]     MEM usage after synthesize_sequential_hierarchies = 49.363m 180.922p
     [UI-BDS]     CPU usage after transform_mem_comb_read = 11.285u 0.554s 11.839 0:17.000
     [UI-BDS]     MEM usage after transform_mem_comb_read = 49.364m 180.922p
     [UI-BDS]     CPU usage after introduce_writes_for_roms = 11.285u 0.554s 11.839 0:17.000
     [UI-BDS]     MEM usage after introduce_writes_for_roms = 49.364m 180.922p
     [UI-BDS]     CPU usage after reset_restr = 11.286u 0.554s 11.840 0:17.000
     [UI-BDS]     MEM usage after reset_restr = 49.366m 180.922p
     [UI-BDS]     CPU usage after coalesce_multi_concats = 11.287u 0.554s 11.841 0:17.000
     [UI-BDS]     MEM usage after coalesce_multi_concats = 49.366m 180.922p
     [UI-BDS]     CPU usage after remove_sc_int_upcasts = 11.287u 0.554s 11.841 0:17.000
     [UI-BDS]     MEM usage after remove_sc_int_upcasts = 49.367m 180.922p
     [UI-BDS]     CPU usage after handle_shift_operations = 11.290u 0.554s 11.844 0:17.000
     [UI-BDS]     MEM usage after handle_shift_operations = 49.607m 180.922p
     [UI-BDS]     CPU usage after var_bit_range = 11.291u 0.554s 11.845 0:17.000
     [UI-BDS]     MEM usage after var_bit_range = 49.608m 180.922p
     [UI-BDS]     CPU usage after var_bit_sel = 11.293u 0.554s 11.847 0:17.000
     [UI-BDS]     MEM usage after var_bit_sel = 49.608m 180.922p
     [UI-BDS]     CPU usage after convert_upto_bit_ranges = 11.293u 0.554s 11.847 0:17.000
     [UI-BDS]     MEM usage after convert_upto_bit_ranges = 49.609m 180.922p
     [UI-BDS]     CPU usage after bit_split = 11.293u 0.556s 11.849 0:17.000
     [UI-BDS]     MEM usage after bit_split = 49.609m 180.922p
     [UI-BDS]     CPU usage after coalesce_concats = 11.294u 0.556s 11.850 0:17.000
     [UI-BDS]     MEM usage after coalesce_concats = 49.609m 180.922p
     [UI-BDS]     CPU usage after concat2sel = 11.294u 0.557s 11.851 0:17.000
     [UI-BDS]     MEM usage after concat2sel = 49.610m 180.922p
     [UI-BDS]     CPU usage after break_array_read_ps = 11.294u 0.557s 11.851 0:17.000
     [UI-BDS]     MEM usage after break_array_read_ps = 49.610m 180.922p
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 12 seconds [+1MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 11.300u 0.558s 11.858 0:17.000
     [UI-BDS]     MEM usage after record_design_checks = 49.619m 180.922p
     [UI-BDS]     CPU usage after add_umr_detection_checks = 11.320u 0.558s 11.878 0:17.000
     [UI-BDS]     MEM usage after add_umr_detection_checks = 49.721m 180.922p
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Started do_design_checks
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 11.321u 0.558s 11.879 0:17.000
     [UI-BDS]     MEM usage after do_design_checks = 49.721m 180.922p
     [UI-BDS]     CPU usage after remove_trivially_true_asserts = 11.321u 0.559s 11.879 0:17.000
     [UI-BDS]     MEM usage after remove_trivially_true_asserts = 49.650m 180.922p
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 11.323u 0.559s 11.882 0:17.000
     [UI-BDS]     MEM usage after record_design_checks = 49.650m 180.922p
     [CPT-PCM]    Number of Property Checks: asc='NA'; abr='NA'; abw='NA'; dbz='NA'; ise='NA'; cas='NA'; umr='NA'; ovf=32;
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln89 created for the property at (ntt.cpp:89)»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln41 created for the property at (ntt.cpp:41)»(ntt.cpp:64) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:94) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:91) INNER_LOOP1»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln42 created for the property at (ntt.cpp:42)»(ntt.cpp:64) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:94) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:91) INNER_LOOP1»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln43 created for the property at (ntt.cpp:43)»(ntt.cpp:64) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:94) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:91) INNER_LOOP1»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln44 created for the property at (ntt.cpp:44)»(ntt.cpp:64) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:94) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:91) INNER_LOOP1»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln46 created for the property at (ntt.cpp:46)»(ntt.cpp:64) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:94) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:91) INNER_LOOP1»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln65 created for the property at (ntt.cpp:65)»(ntt.cpp:94) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:91) INNER_LOOP1»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln66 created for the property at (ntt.cpp:66)»(ntt.cpp:94) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:91) INNER_LOOP1»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln114 created for the property at (ntt.cpp:114)»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln41_1 created for the property at (ntt.cpp:41)»(ntt.cpp:64) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:118) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:115) INNER_LOOP2»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln42_1 created for the property at (ntt.cpp:42)»(ntt.cpp:64) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:118) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:115) INNER_LOOP2»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln43_1 created for the property at (ntt.cpp:43)»(ntt.cpp:64) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:118) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:115) INNER_LOOP2»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln44_1 created for the property at (ntt.cpp:44)»(ntt.cpp:64) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:118) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:115) INNER_LOOP2»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln46_1 created for the property at (ntt.cpp:46)»(ntt.cpp:64) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:118) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:115) INNER_LOOP2»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln65_1 created for the property at (ntt.cpp:65)»(ntt.cpp:118) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:115) INNER_LOOP2»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln66_1 created for the property at (ntt.cpp:66)»(ntt.cpp:118) butterFly1(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:115) INNER_LOOP2»(ntt.cpp:87) STAGE_LOOP»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln140 created for the property at (ntt.cpp:140)»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln41_2 created for the property at (ntt.cpp:41)»(ntt.cpp:74) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:142) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:141) INNER_LOOP3»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln42_2 created for the property at (ntt.cpp:42)»(ntt.cpp:74) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:142) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:141) INNER_LOOP3»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln43_2 created for the property at (ntt.cpp:43)»(ntt.cpp:74) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:142) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:141) INNER_LOOP3»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln44_2 created for the property at (ntt.cpp:44)»(ntt.cpp:74) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:142) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:141) INNER_LOOP3»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln46_2 created for the property at (ntt.cpp:46)»(ntt.cpp:74) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:142) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:141) INNER_LOOP3»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln75 created for the property at (ntt.cpp:75)»(ntt.cpp:142) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:141) INNER_LOOP3»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln76 created for the property at (ntt.cpp:76)»(ntt.cpp:142) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:141) INNER_LOOP3»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln162 created for the property at (ntt.cpp:162)»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln41_3 created for the property at (ntt.cpp:41)»(ntt.cpp:74) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:164) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:163) INNER_LOOP4»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln42_3 created for the property at (ntt.cpp:42)»(ntt.cpp:74) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:164) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:163) INNER_LOOP4»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln43_3 created for the property at (ntt.cpp:43)»(ntt.cpp:74) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:164) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:163) INNER_LOOP4»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln44_3 created for the property at (ntt.cpp:44)»(ntt.cpp:74) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:164) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:163) INNER_LOOP4»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln46_3 created for the property at (ntt.cpp:46)»(ntt.cpp:74) mult(ac_int<32,false>,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>)»(ntt.cpp:164) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:163) INNER_LOOP4»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln75_1 created for the property at (ntt.cpp:75)»(ntt.cpp:164) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:163) INNER_LOOP4»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [CPT-PSR]    Signal spec.prop_ovf_spec_wrapper_ln76_1 created for the property at (ntt.cpp:76)»(ntt.cpp:164) butterFly2(ac_int<32,false>*,ac_int<32,false>*,ac_int<20,false>,ac_int<32,false>,ac_int<20,false>,ac_int<32,false>*,ac_int<32,false>*)»(ntt.cpp:163) INNER_LOOP4»(ntt.cpp:139) STAGE_LOOP1»(spec_wrapper.cpp:149) peaseNTT(ac_int<32,false>*,ac_int<32,false>,ac_int<32,false>,ac_int<32,false>*,ac_int<32,false>*)»(spec_wrapper.cpp:127) spec_wrapper::doit() <EOM>
     [UI-BDS]     CPU usage after handle_property_asserts = 11.330u 0.565s 11.895 0:17.000
     [UI-BDS]     MEM usage after handle_property_asserts = 49.721m 180.922p
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 11.331u 0.565s 11.896 0:17.000
     [UI-BDS]     MEM usage after record_design_checks = 49.721m 180.922p
     [UI-BDS]     CPU usage after cleanup_empty_seq_block = 11.353u 0.565s 11.918 0:17.000
     [UI-BDS]     MEM usage after cleanup_empty_seq_block = 49.422m 180.922p
     [UI-BDS]     CPU usage after cpt_insert_waits_forcpc = 11.354u 0.565s 11.919 0:17.000
     [UI-BDS]     MEM usage after cpt_insert_waits_forcpc = 49.423m 180.922p
     [UI-BDS]     CPU usage after wait_restr = 11.434u 0.566s 12.000 0:17.000
     [UI-BDS]     MEM usage after wait_restr = 49.729m 180.922p
     [UI-BDS]     CPU usage after reset_probes = 11.435u 0.566s 12.001 0:17.000
     [UI-BDS]     MEM usage after reset_probes = 49.730m 180.922p
     [UI-BDS]     CPU usage after remove_dead_assigns = 11.443u 0.566s 12.009 0:17.000
     [UI-BDS]     MEM usage after remove_dead_assigns = 49.513m 180.922p
     [UI-BDS]     CPU usage after remove_x_assignments = 11.444u 0.566s 12.009 0:17.000
     [UI-BDS]     MEM usage after remove_x_assignments = 49.511m 180.922p
     [UI-BDS]     CPU usage after nb2b = 11.445u 0.566s 12.011 0:17.000
     [UI-BDS]     MEM usage after nb2b = 49.514m 180.922p
     [UI-BDS]     CPU usage after const_fold = 11.447u 0.567s 12.014 0:17.000
     [UI-BDS]     MEM usage after const_fold = 49.514m 180.922p
     [UI-BDS]     CPU usage after match_operand_widths = 11.448u 0.567s 12.015 0:17.000
     [UI-BDS]     MEM usage after match_operand_widths = 49.529m 180.922p
     [UI-BDS]     CPU usage after remove_dead_assigns = 11.454u 0.567s 12.020 0:17.000
     [UI-BDS]     MEM usage after remove_dead_assigns = 49.527m 180.922p
     [UI-BDS]     CPU usage after mux_compaction = 11.454u 0.567s 12.021 0:17.000
     [UI-BDS]     MEM usage after mux_compaction = 49.527m 180.922p
     [UI-BDS]     CPU usage after cleanup_attributes = 11.455u 0.567s 12.022 0:17.000
     [UI-BDS]     MEM usage after cleanup_attributes = 49.527m 180.922p
     [CPT-MECPL]  Number Of Memory Expr's Read/Write Operations = 1 at /home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:92
